COMPAÑÍA;CLAVE_OPERACIÓN;FECHA EMISIÓN ANULACIÓN;FECHA EFECTO ANULACIÓN;MOTIVO ANULACIÓN;
AVP;POL42460000006288;08/06/2024;04/03/2024;IMPAGO DE RECIBOS;
AVP;POL42460000006291;01/06/2024;16/03/2024;IMPAGO DE RECIBOS;
AVP;POL42460000006320;08/07/2024;22/04/2024;IMPAGO DE RECIBOS;
AVP;POL42460000006355;30/06/2024;30/06/2024;ERROR EN LA EMISIÓN;
AVP;POL50470000001257;07/06/2024;28/05/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001261;06/06/2024;28/05/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001270;06/06/2024;29/05/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001278;07/06/2024;30/05/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001288;11/06/2024;31/05/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001299;12/06/2024;04/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001306;12/06/2024;04/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001332;08/06/2024;07/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001335;18/06/2024;07/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001345;16/06/2024;10/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001353;19/06/2024;11/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001355;19/06/2024;11/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001359;20/06/2024;12/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001362;22/06/2024;12/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001365;20/06/2024;12/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001366;20/06/2024;12/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001369;22/06/2024;13/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001371;22/06/2024;13/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001372;22/06/2024;13/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001397;28/06/2024;18/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001406;28/06/2024;20/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001409;21/06/2024;20/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001416;28/06/2024;20/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001420;28/06/2024;21/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001421;28/06/2024;21/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001429;27/06/2024;21/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001452;04/07/2024;26/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001458;04/07/2024;26/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001463;06/07/2024;27/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001477;06/07/2024;28/06/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001485;07/07/2024;01/07/2024;IMPAGO DE RECIBOS;
AVP;POL50470000001496;07/07/2024;02/07/2024;IMPAGO DE RECIBOS;
AVP;POL50530000009306;04/07/2024;03/07/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50530000009370;04/06/2024;03/06/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50530000009427;04/06/2024;03/06/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50530000009458;04/06/2024;03/06/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50530000009484;04/06/2024;03/06/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50530000009531;07/06/2024;29/05/2024;IMPAGO DE RECIBOS;
AVP;POL50530000009533;04/07/2024;03/07/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50530000009538;07/06/2024;30/05/2024;IMPAGO DE RECIBOS;
AVP;POL50530000009554;07/06/2024;31/05/2024;IMPAGO DE RECIBOS;
AVP;POL50530000009579;13/06/2024;05/06/2024;IMPAGO DE RECIBOS;
AVP;POL50530000009588;08/06/2024;06/06/2024;IMPAGO DE RECIBOS;
AVP;POL50530000009599;15/06/2024;07/06/2024;IMPAGO DE RECIBOS;
AVP;POL50530000009627;16/06/2024;11/06/2024;IMPAGO DE RECIBOS;
AVP;POL50530000009628;04/07/2024;03/07/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50530000009687;04/07/2024;25/06/2024;IMPAGO DE RECIBOS;
AVP;POL50540000005407;04/06/2024;03/06/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50540000005451;04/06/2024;03/06/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50540000005472;06/06/2024;23/05/2024;IMPAGO DE RECIBOS;
AVP;POL50540000005489;07/06/2024;27/05/2024;IMPAGO DE RECIBOS;
AVP;POL50540000005502;07/06/2024;03/06/2024;PETICIÓN DEL CLIENTE;
AVP;POL50540000005505;04/07/2024;03/07/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50540000005510;09/06/2024;04/06/2024;IMPAGO DE RECIBOS;
AVP;POL50540000005512;04/07/2024;03/07/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50540000005535;04/07/2024;03/07/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50540000005553;04/07/2024;03/07/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50540000005567;25/06/2024;24/06/2024;ERROR EN LA EMISIÓN;
AVP;POL50710000001332;06/07/2024;29/06/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50720000003475;05/06/2024;09/04/2024;IMPAGO DE RECIBOS;
AVP;POL50720000003476;05/06/2024;09/04/2024;IMPAGO DE RECIBOS;
AVP;POL50720000003560;02/07/2024;29/06/2024;ANULACIÓN PROVISIÓN MATEMÁTICA INSUFICIENTE;
AVP;POL50720000003577;07/06/2024;06/06/2024;IMPAGO DE RECIBOS;
AVP;POLLRD110000000155;07/06/2024;31/05/2024;IMPAGO DE RECIBOS;
AVP;POLLRD110000000157;14/06/2024;03/06/2024;IMPAGO DE RECIBOS;
AVP;POLLRD210000000038;20/06/2024;07/06/2024;IMPAGO DE RECIBOS;
AVP;POLV40710000035356;06/06/2024;01/04/2024;IMPAGO DE RECIBOS;
AVP;POLV40710000035429;12/06/2024;22/02/2024;IMPAGO DE RECIBOS;
AVP;POLV40710000035491;21/06/2024;14/03/2024;IMPAGO DE RECIBOS;
AVP;POLV40710000035508;06/06/2024;08/03/2024;IMPAGO DE RECIBOS;
AVP;POLV40710000035576;04/06/2024;22/03/2024;IMPAGO DE RECIBOS;
AVP;POLV40710000035596;06/06/2024;26/03/2024;IMPAGO DE RECIBOS;
AVP;POLV40710000035603;06/06/2024;07/03/2024;IMPAGO DE RECIBOS;
AVP;POLV40710000035615;08/06/2024;28/03/2024;IMPAGO DE RECIBOS;
